Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.8","1.97","9.2"," 29/285 "," 14/315 "
"PLOS BIOLOGY","PLOS BIOL","1544-9173","1545-7885","BIOLOGY - SCIE","9.8","1.97","9.2"," 4/92 "," 4/111 "
"Cell Systems","CELL SYST","2405-4712","2405-4720","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.3","1.65","10.9"," 30/285 "," 24/315 "
"Cell Systems","CELL SYST","2405-4712","2405-4720","CELL BIOLOGY - SCIE","9.3","1.65","10.9"," 29/191 "," 22/203 "
"International Journal of Biological Sciences","INT J BIOL SCI","1449-2288","1449-2288","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.2","1.7","8.5"," 31/285 "," 22/315 "
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9.2","1.63","11"," 31/285 "," 25/315 "
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","BIOLOGY - SCIE","9.2","1.63","11"," 5/92 "," 7/111 "
"CURRENT BIOLOGY","CURR BIOL","0960-9822","1879-0445","CELL BIOLOGY - SCIE","9.2","1.63","11"," 30/191 "," 23/203 "
"Science China-Life Sciences","SCI CHINA LIFE SCI","1674-7305","1869-1889","BIOLOGY - SCIE","9.1","1.77","7.1"," 6/92 "," 5/111 "
"Cell Death & Disease","CELL DEATH DIS","2041-4889","2041-4889","CELL BIOLOGY - SCIE","9","1.21","9.2"," 31/191 "," 44/203 "
"Cell Reports","CELL REP","2211-1247","2211-1247","CELL BIOLOGY - SCIE","8.8","1.34","9.9"," 32/191 "," 35/203 "
"Cell Chemical Biology","CELL CHEM BIOL","2451-9456","2451-9448","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.6","1.47","8.8"," 33/285 "," 34/315 "
"CELL PROLIFERATION","CELL PROLIFERAT","0960-7722","1365-2184","CELL BIOLOGY - SCIE","8.5","0.94","7.8"," 33/191 "," 63/203 "
"Cell Communication and Signaling","CELL COMMUN SIGNAL","N/A","1478-811X","CELL BIOLOGY - SCIE","8.4","0.88","8"," 34/191 "," 73/203 "
"CELLULAR & MOLECULAR BIOLOGY LETTERS","CELL MOL BIOL LETT","1425-8153","1689-1392","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.3","1.12","7.2"," 34/285 "," 58/315 "
"CELLULAR & MOLECULAR BIOLOGY LETTERS","CELL MOL BIOL LETT","1425-8153","1689-1392","CELL BIOLOGY - SCIE","8.3","1.12","7.2"," 35/191 "," 48/203 "
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8.2","1.44","7.8"," 35/285 "," 36/315 "
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8","1.55","8.8"," 36/285 "," 30/315 "
"ONCOGENE","ONCOGENE","0950-9232","1476-5594","CELL BIOLOGY - SCIE","8","1.55","8.8"," 36/191 "," 25/203 "
"PROTEIN SCIENCE","PROTEIN SCI","0961-8368","1469-896X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8","0.99","7.6"," 36/285 "," 71/315 "
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","8","0.91","8.7"," 36/285 "," 86/315 "
"CELLULAR AND MOLECULAR LIFE SCIENCES","CELL MOL LIFE SCI","1420-682X","1420-9071","CELL BIOLOGY - SCIE","8","0.91","8.7"," 36/191 "," 68/203 "
"HLA","HLA","2059-2302","2059-2310","CELL BIOLOGY - SCIE","8","0.72","4.3"," 36/191 "," 93/203 "
"AGING CELL","AGING CELL","1474-9718","1474-9726","CELL BIOLOGY - SCIE","7.8","1.53","9.2"," 39/191 "," 26/203 "
"JOURNAL OF CELL BIOLOGY","J CELL BIOL","0021-9525","1540-8140","CELL BIOLOGY - SCIE","7.8","1.13","8.8"," 39/191 "," 46/203 "
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.8","0.92","8.2"," 39/285 "," 82/315 "
"CURRENT OPINION IN CHEMICAL BIOLOGY","CURR OPIN CHEM BIOL","1367-5931","1879-0402","BIOPHYSICS - SCIE","7.8","0.92","8.2"," 6/70 "," 13/74 "
"eLife","ELIFE","2050-084X","2050-084X","BIOLOGY - SCIE","7.7","2.07","8.3"," 7/92 "," 3/111 "
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","BIOLOGY - SCIE","7.7","1.62","6.9"," 7/92 "," 8/111 "
"Molecular Ecology Resources","MOL ECOL RESOUR","1755-098X","1755-0998","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.7","1.62","8"," 40/285 "," 26/315 "
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.7","1.14","8.6"," 40/285 "," 56/315 "
"EMBO REPORTS","EMBO REP","1469-221X","1469-3178","CELL BIOLOGY - SCIE","7.7","1.14","8.6"," 41/191 "," 45/203 "
"Stem Cell Research & Therapy","STEM CELL RES THER","N/A","1757-6512","CELL BIOLOGY - SCIE","7.5","1.36","8"," 42/191 "," 32/203 "
"Cell and Bioscience","CELL BIOSCI","N/A","2045-3701","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7.5","1.13","7.9"," 42/285 "," 57/315 "
"CURRENT OPINION IN CELL BIOLOGY","CURR OPIN CELL BIOL","0955-0674","1879-0410","CELL BIOLOGY - SCIE","7.5","0.8","7.7"," 42/191 "," 81/203 "
