Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
317	MAMMALIAN GENOME	"2715"	2.343	0.00341
318	PHOTOCHEMISTRY AND PHOTOBIOLOGY	"9930"	2.338	0.00574
319	Human Cell	503	2.333	0.00068
320	CELL BIOCHEMISTRY AND BIOPHYSICS	"3650"	2.323	0.00593
321	JOURNAL OF BIOMOLECULAR NMR	"4868"	2.319	0.00592
322	International Journal of Genomics	740	2.303	0.00217
323	Biomedical Journal	725	2.301	0.00195
324	Channels	"1210"	2.289	0.00284
325	COMPUTERS IN BIOLOGY AND MEDICINE	"5694"	2.286	0.00858
326	CURRENT DRUG METABOLISM	"3475"	2.277	0.00272
327	INTERNATIONAL JOURNAL OF RADIATION BIOLOGY	"4537"	2.266	0.00374
328	Chemical Biology & Drug Design	"4154"	2.256	0.00578
329	PROSTAGLANDINS & OTHER LIPID MEDIATORS	"2353"	2.253	0.0022
330	JOURNAL OF BIOCHEMISTRY	"7724"	2.23	0.00482
331	Frontiers in Bioscience-Landmark	"8113"	2.214	0.00391
332	DEVELOPMENT GENES AND EVOLUTION	"1655"	2.186	0.00156
333	CHROMOSOME RESEARCH	"2291"	2.183	0.00266
334	CURRENT GENOMICS	"2027"	2.174	0.00218
334	MOLECULAR VISION	"6016"	2.174	0.00592
336	Innate Immunity	"1341"	2.173	0.00292
337	CONNECTIVE TISSUE RESEARCH	"2241"	2.167	0.00231
337	GROWTH HORMONE & IGF RESEARCH	"1390"	2.167	0.00143
339	MOLECULAR AND BIOCHEMICAL PARASITOLOGY	"5984"	2.158	0.00368
340	Nucleus	"1270"	2.157	0.00436
341	LIPIDS	"6751"	2.144	0.00352
342	CELL BIOCHEMISTRY AND FUNCTION	"2337"	2.142	0.0023
342	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY	"10422"	2.142	0.00639
344	CRYOBIOLOGY	"4553"	2.141	0.00404
345	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY	"12340"	2.14	0.01301
346	STEROIDS	"5927"	2.136	0.00667
347	CELL BIOLOGY INTERNATIONAL	"3974"	2.127	0.0041
347	GENETICS AND MOLECULAR BIOLOGY	"2526"	2.127	0.00268
349	Advances in Experimental Medicine and Biology	"19627"	2.126	0.03387
350	MOLECULAR REPRODUCTION AND DEVELOPMENT	"5407"	2.124	0.00547
351	EXCLI Journal	"1307"	2.112	0.00275
352	MOLECULAR BIOLOGY REPORTS	"7777"	2.107	0.01017
353	JOURNAL OF PEPTIDE SCIENCE	"2218"	2.081	0.00315
354	Life Sciences in Space Research	300	2.066	0.00094
355	Cell Journal	871	2.046	0.0019
355	EXTREMOPHILES	"3190"	2.046	0.00353
357	Organogenesis	"1027"	2.034	0.00154
358	Biochemistry and Cell Biology	"2583"	2.014	0.00208
358	JOURNAL OF RADIATION RESEARCH	"2652"	2.014	0.00425
360	Journal of Medical Biochemistry	306	2	0.00042
361	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY	"6787"	1.99	0.00278
362	PROTEIN ENGINEERING DESIGN & SELECTION	"4865"	1.98	0.00354
363	REDOX REPORT	"1478"	1.963	0.00131
364	Biology Open	"2357"	1.962	0.00914
365	FEBS Open Bio	"1433"	1.959	0.00432
366	BIOELECTROMAGNETICS	"2751"	1.945	0.0019
367	JOURNAL OF MATHEMATICAL BIOLOGY	"5034"	1.94	0.00618
368	CELL AND TISSUE BANKING	"1127"	1.939	0.00171
369	AEROBIOLOGIA	"1299"	1.931	0.00138
369	BIOCHEMICAL GENETICS	"1179"	1.931	0.00096
371	GENES TO CELLS	"3980"	1.922	0.00454
372	JOURNAL OF MOLECULAR RECOGNITION	"2257"	1.919	0.00192
373	JOURNAL OF THERMAL BIOLOGY	"3766"	1.902	0.0043
374	BIOCHEMISTRY-MOSCOW	"4154"	1.886	0.00453
375	CURRENT PROTEIN & PEPTIDE SCIENCE	"2636"	1.885	0.00291
376	Journal of Zhejiang University-SCIENCE B	"2673"	1.879	0.00305
377	EUROPEAN CYTOKINE NETWORK	"1138"	1.875	0.00062
377	JOURNAL OF THEORETICAL BIOLOGY	"20603"	1.875	0.01815
379	CARBOHYDRATE RESEARCH	"15274"	1.873	0.00614
380	International Journal of Stem Cells	428	1.87	0.00083
381	COMPTES RENDUS BIOLOGIES	"2455"	1.867	0.00189
382	JOURNAL OF MOLECULAR GRAPHICS & MODELLING	"7117"	1.863	0.00393
383	Methods in Enzymology	"24871"	1.862	0.01918
384	BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH	"5233"	1.85	0.00397
385	BIOPOLYMERS	"9627"	1.845	0.00569
386	ELECTROMAGNETIC BIOLOGY AND MEDICINE	725	1.835	0.00104
387	PATHOBIOLOGY	"1043"	1.831	0.00126
388	JOURNAL OF BIOSCIENCES	"2658"	1.823	0.00237
389	PHYSICAL BIOLOGY	"1902"	1.818	0.00389
390	TRANSGENIC RESEARCH	"2684"	1.817	0.00292
391	CHEMICAL SPECIATION AND BIOAVAILABILITY	561	1.8	0.00055
392	Analytical Cellular Pathology	408	1.788	0.00048
393	JOURNAL OF MOLECULAR EVOLUTION	"7623"	1.782	0.00218
394	HISTOLOGY AND HISTOPATHOLOGY	"4244"	1.777	0.00391
