Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,Eigenfactor
ALEA-Latin American Journal of Probability and Mathematical Statistics,1980-0436,N/A,"STATISTICS & PROBABILITY - SCIE","385",0.720,0.00166,
Mathematical Population Studies,0889-8480,1547-724X,"STATISTICS & PROBABILITY - SCIE","216",0.720,0.00011,
ADVANCES IN APPLIED PROBABILITY,0001-8678,1475-6064,"STATISTICS & PROBABILITY - SCIE","2,331",0.690,0.00220,
STOCHASTIC MODELS,1532-6349,1532-4214,"STATISTICS & PROBABILITY - SCIE","533",0.652,0.00040,
AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,1369-1473,1467-842X,"STATISTICS & PROBABILITY - SCIE","809",0.640,0.00063,
Probability and Mathematical Statistics-Poland,0208-4147,N/A,"STATISTICS & PROBABILITY - SCIE","345",0.560,0.00054,
Markov Processes and Related Fields,1024-2953,1024-2953,"STATISTICS & PROBABILITY - SCIE","328",0.556,0.00051,
INTERNATIONAL JOURNAL OF GAME THEORY,0020-7276,1432-1270,"STATISTICS & PROBABILITY - SCIE","1,653",0.462,0.00129,
Statistical Applications in Genetics and Molecular Biology,2194-6302,1544-6115,"STATISTICS & PROBABILITY - SCIE","1,718",0.419,0.00088,
Survey Methodology,0714-0045,N/A,"STATISTICS & PROBABILITY - SCIE","908",0.378,0.00044,
UTILITAS MATHEMATICA,0315-3681,N/A,"STATISTICS & PROBABILITY - SCIE","648",0.279,0.00056,
Journal of Reliability and Statistical Studies,0974-8024,2229-5666,"STATISTICS & PROBABILITY - ESCI","68",n/a,0.00007,
Journal of Statistical Theory and Applications,1538-7887,1538-7887,"STATISTICS & PROBABILITY - ESCI","273",n/a,0.00037,
Statistical Inference for Stochastic Processes,1387-0874,1572-9311,"STATISTICS & PROBABILITY - ESCI","106",n/a,0.00042,
JIRSS-Journal of the Iranian Statistical Society,1726-4057,2538-189X,"STATISTICS & PROBABILITY - ESCI","87",n/a,0.00011,
Theory of Probability and Mathematical Statistics,0094-9000,1547-7363,"STATISTICS & PROBABILITY - ESCI","78",n/a,0.00017,
Electronic Journal of Applied Statistical Analysis,2070-5948,2070-5948,"STATISTICS & PROBABILITY - ESCI","229",n/a,0.00034,
Pakistan Journal of Statistics and Operation Research,1816-2711,2220-5810,"STATISTICS & PROBABILITY - ESCI","475",n/a,0.00057,
Communications for Statistical Applications and Methods,2287-7843,2383-4757,"STATISTICS & PROBABILITY - ESCI","252",n/a,0.00097,
Sankhya-Series A-Mathematical Statistics and Probability,0976-836X,0976-8378,"STATISTICS & PROBABILITY - ESCI","710",n/a,0.00049,
Wiley Interdisciplinary Reviews-Computational Statistics,1939-0068,1939-0068,"STATISTICS & PROBABILITY - ESCI","2,014",n/a,0.00144,
Sankhya-Series B-Applied and Interdisciplinary Statistics,0976-8386,0976-8394,"STATISTICS & PROBABILITY - ESCI","357",n/a,0.00024,
Probability Uncertainty and Quantitative Risk,2095-9672,2367-0126,"STATISTICS & PROBABILITY - ESCI","61",n/a,0.00037,
Journal of Modern Applied Statistical Methods,1538-9472,1538-9472,"STATISTICS & PROBABILITY - ESCI","1,041",n/a,0.00088,
Modern Stochastics-Theory and Applications,2351-6054,2351-6054,"STATISTICS & PROBABILITY - ESCI","74",n/a,0.00026,
Metron-International Journal of Statistics,0026-1424,2281-695X,"STATISTICS & PROBABILITY - ESCI","569",n/a,0.00046,
Journal of Statistics & Management Systems,0972-0510,2169-0014,"STATISTICS & PROBABILITY - ESCI","453",n/a,0.00060,
Journal of Statistical Theory and Practice,1559-8608,1559-8616,"STATISTICS & PROBABILITY - ESCI","407",n/a,0.00095,
Random Operators and Stochastic Equations,0926-6364,1569-397X,"STATISTICS & PROBABILITY - ESCI","112",n/a,0.00013,
Advances and Applications in Statistics,0972-3617,0972-3617,"STATISTICS & PROBABILITY - ESCI","97",n/a,0.00008,
Journal of Probability and Statistics,1687-952X,1687-9538,"STATISTICS & PROBABILITY - ESCI","228",n/a,0.00024,
Monte Carlo Methods and Applications,0929-9629,0929-9629,"STATISTICS & PROBABILITY - ESCI","644",n/a,0.00032,
Korean Journal of Applied Statistics,1225-066X,2383-5818,"STATISTICS & PROBABILITY - ESCI","119",n/a,0.00013,
Mathematical Methods of Statistics,1066-5307,1934-8045,"STATISTICS & PROBABILITY - ESCI","457",n/a,0.00040,
SOUTH AFRICAN STATISTICAL JOURNAL,0038-271X,1996-8450,"STATISTICS & PROBABILITY - ESCI","91",n/a,0.00011,
Journal of Algebraic Statistics,1309-3452,1309-3452,"STATISTICS & PROBABILITY - ESCI","23",n/a,0.00031,
Austrian Journal of Statistics,1026-597X,1026-597X,"STATISTICS & PROBABILITY - ESCI","453",n/a,0.00053,
Chilean Journal of Statistics,0718-7912,0718-7920,"STATISTICS & PROBABILITY - ESCI","113",n/a,0.00015,
Statistics and Applications,2454-7395,2454-7395,"STATISTICS & PROBABILITY - ESCI","195",n/a,0.00017,
JP Journal of Biostatistics,0973-5143,0973-5143,"STATISTICS & PROBABILITY - ESCI","15",n/a,0.00000,
Statistics & Risk Modeling,2193-1402,2196-7040,"STATISTICS & PROBABILITY - ESCI","167",n/a,0.00010,
Thailand Statistician,1685-9057,2351-0676,"STATISTICS & PROBABILITY - ESCI","58",n/a,0.00007,
Probability Surveys,1549-5787,1549-5787,"STATISTICS & PROBABILITY - ESCI","508",n/a,0.00046,
Journal of the SFdS,2102-6238,2102-6238,"STATISTICS & PROBABILITY - ESCI","198",n/a,0.00063,
Dependence Modeling,2300-2298,2300-2298,"STATISTICS & PROBABILITY - ESCI","129",n/a,0.00072,
Statistics Surveys,1935-7516,1935-7516,"STATISTICS & PROBABILITY - ESCI","669",n/a,0.00045,
Statistica,0390-590X,1973-2201,"STATISTICS & PROBABILITY - ESCI","278",n/a,0.00027,
