Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,2022 JCI,5 Year JIF,JIF Rank,JCI Rank
"International Journal of Applied Mathematics and Computer Science","INT J AP MAT COM-POL","1641-876X","2083-8492","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.9","0.52","1.6"," 118/145 "," 112/192 "
"INTERNATIONAL JOURNAL OF MODERN PHYSICS C","INT J MOD PHYS C","0129-1831","1793-6586","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.9","0.48","1.4"," 89/110 "," 106/163 "
"AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS","AUTON AGENT MULTI-AG","1387-2532","1573-7454","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.9","0.44","2.5"," 118/145 "," 125/192 "
"Traitement du Signal","TRAIT SIGNAL","0765-0019","1958-5608","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.9","0.41","1.8"," 118/145 "," 134/192 "
"IEEE Revista Iberoamericana de Tecnologias del Aprendizaje-IEEE RITA","IEEE REV IBEROAM TEC","N/A","1932-8540","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.9","0.36","1.6"," N/A "," 129/163 "
"International Journal of Gaming and Computer-Mediated Simulations","INT J GAMING COMPUT-","1942-3888","1942-3896","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI","1.9","0.29","1.6"," N/A "," 135/163 "
"MACHINE TRANSLATION","MACH TRANSL","0922-6567","1573-0573","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1.9","0.29","2.4"," N/A "," 154/192 "
"Computational and Mathematical Organization Theory","COMPUT MATH ORGAN TH","1381-298X","1572-9346","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.8","0.63","2.2"," 91/110 "," 85/163 "
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","COMPUT STAT DATA AN","0167-9473","1872-7352","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.8","0.6","1.8"," 91/110 "," 91/163 "
"INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS","INT J NUMER METH FL","0271-2091","1097-0363","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.8","0.51","1.9"," 91/110 "," 101/163 "
"International Journal of System Dynamics Applications","INT J SYST DYN APPL","2160-9772","2160-9799","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1.8","0.31","1.6"," N/A "," 153/192 "
"International Journal of Computational Intelligence and Applications","INT J COMPUT INTELL","1469-0268","1757-5885","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1.8","0.22","2.7"," N/A "," 163/192 "
"Journal of Ambient Intelligence and Smart Environments","J AMB INTEL SMART EN","1876-1364","1876-1372","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1.7","0.5","2.3"," 121/145 "," 114/192 "
"Current Computer-Aided Drug Design","CURR COMPUT-AID DRUG","1573-4099","1875-6697","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.7","0.42","1.6"," 94/110 "," 115/163 "
"JOURNAL OF COMPUTATIONAL BIOLOGY","J COMPUT BIOL","1066-5277","1557-8666","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1.7","0.42","1.6"," 94/110 "," 115/163 "
